feature,importance,importance_pct
net_load_lag1h,0.4132976,41.32976
net_load_lag2h,0.40323552,40.323555
net_load_lag24h,0.09979453,9.979454
is_peak_hour,0.032361936,3.2361941
hour,0.009061696,0.9061697
day_of_week,0.0054200822,0.5420083
net_load_lag48h,0.005233024,0.52330244
net_load_lag3h,0.0051599974,0.5159998
net_load_lag6h,0.0045218365,0.45218372
month,0.0028968286,0.2896829
temperature_lag24h,0.002267282,0.22672823
Temperature,0.0020390162,0.20390165
net_load_lag12h,0.0019246934,0.19246936
temperature_lag12h,0.0019077477,0.1907748
net_load_lag168h,0.0016759089,0.1675909
heat_stress_lag24h,0.0013883899,0.138839
heat_stress,0.001276104,0.12761042
day_of_month,0.0012713949,0.12713951
humidity_lag24h,0.0011892214,0.11892215
Sunshine,0.001172995,0.11729951
Humidity,0.0011036588,0.1103659
Rainfall,0.0010693518,0.106935196
humidity_lag12h,0.00073113316,0.07311332
