feature,importance,importance_pct
net_load_lag2h,0.4563354,45.633537
net_load_lag1h,0.44073522,44.073517
net_load_lag24h,0.048910066,4.891006
net_load_lag3h,0.007638997,0.76389956
hour,0.0073679,0.73678994
day_of_week,0.004661009,0.46610087
month,0.0035742463,0.3574246
net_load_lag6h,0.003131406,0.31314057
net_load_lag48h,0.0031028213,0.3102821
net_load_lag12h,0.0027859677,0.27859673
Temperature,0.0024789812,0.24789809
temperature_lag24h,0.002468373,0.24683726
is_peak_hour,0.0023892901,0.23892899
Sunshine,0.002233787,0.22337867
temperature_lag12h,0.0018418317,0.18418315
heat_stress,0.0016094187,0.16094185
humidity_lag12h,0.0015206021,0.1520602
Rainfall,0.001491428,0.14914279
heat_stress_lag24h,0.001454032,0.14540319
net_load_lag168h,0.0014255287,0.14255285
Humidity,0.0012010966,0.12010964
humidity_lag24h,0.0010516712,0.105167106
day_of_month,0.0005909423,0.05909422
